,Irrigation,Yield,Actual Evapotranspiration,simulation,Tradable irr,tradable ET,Rate,benefit from grain,Loss in yield,breakeven price,
1,51.80000003,1975.944344,145.2528309,V0F0G0,429.5239002,357.6117754,3,94.43735912,481.491126,341.677134,291.2185717
2,481.3239002,12050.34367,502.8646063,V100F100G100,0,0,3,575.9284851,0,#DIV/0!,#DIV/0!
3,93.13239002,1979.774186,186.6518529,V10F10G10,388.1915102,316.2127534,3,94.6204008,481.3080843,377.9132213,364.2735741
4,136.26478,2023.128209,228.723002,V20F20G20,345.0591202,274.1416043,3,96.69244268,479.2360424,423.3220836,470.6639527
5,179.3971699,2699.729919,267.4666538,V30F30G30,301.9267303,235.3979525,3,129.0296281,446.898857,451.1517462,584.1641815
6,222.5295601,4204.480783,308.1603045,V40F40G40,258.7943401,194.7043018,3,200.9469866,374.9814985,441.6416553,691.3682712
7,265.6619501,6081.07108,349.7625317,V50F50G50,215.6619501,153.1020746,3,290.6358649,285.2926202,403.2106294,802.7232822
8,308.7943399,7610.289829,391.2422012,V60F60G60,172.5295603,111.6224051,3,363.72263,212.2058551,374.8942762,1023.699277
9,351.9267302,9200.319309,432.1194021,V70F70G70,129.39717,70.7452042,3,439.7157548,136.2127303,320.8543139,1382.374904
10,395.0591202,10859.63846,471.9347067,V80F80G80,86.26478,30.9298996,3,519.0204776,56.90800749,201.0734935,1981.487222
11,438.1915102,12022.29172,501.5298151,V90F90G90,43.13239,1.3347912,3,574.5877833,1.340701768,9.474223408,2163.441964
