"","Irrigation","Yield","Actual Evapotranspiration","simulation"
"1",51.80000003,1975.944344,145.2528309,"V0F0G0"
"2",481.3239002,12050.34367,502.8646063,"V100F100G100"
"3",93.13239002,1979.774186,186.6518529,"V10F10G10"
"4",136.26478,2023.128209,228.723002,"V20F20G20"
"5",179.3971699,2699.729919,267.4666538,"V30F30G30"
"6",222.5295601,4204.480783,308.1603045,"V40F40G40"
"7",265.6619501,6081.07108,349.7625317,"V50F50G50"
"8",308.7943399,7610.289829,391.2422012,"V60F60G60"
"9",351.9267302,9200.319309,432.1194021,"V70F70G70"
"10",395.0591202,10859.63846,471.9347067,"V80F80G80"
"11",438.1915102,12022.29172,501.5298151,"V90F90G90"
