DOY,Instreamflow,Average discharge,crop,quarter,half,thi_quarter,full
185,,1.72064,corn,0.05,0.09,0.14,0.18
186,,1.653663333,corn,0.05,0.09,0.14,0.18
187,,1.53669,corn,0.05,0.09,0.14,0.18
188,,1.390945,corn,0.05,0.09,0.14,0.18
189,,1.274443333,corn,0.05,0.09,0.14,0.18
190,,1.328590667,corn,0.05,0.09,0.14,0.18
191,,1.4541955,corn,0.05,0.09,0.14,0.18
192,,1.398633167,corn,0.05,0.09,0.14,0.18
193,,1.351560833,corn,0.05,0.09,0.14,0.18
194,,1.3584,corn,0.05,0.09,0.14,0.18
195,,1.233408333,corn,0.05,0.09,0.14,0.18
196,,1.057005,corn,0.05,0.09,0.14,0.18
197,,0.97069,corn,0.05,0.09,0.14,0.18
198,,0.921919667,corn,0.05,0.09,0.14,0.18
199,,0.8870635,corn,0.05,0.09,0.14,0.18
200,,0.873526667,corn,0.05,0.09,0.14,0.18
201,,0.8148985,corn,0.05,0.09,0.14,0.18
202,,0.780325333,corn,0.05,0.09,0.14,0.18
203,,0.7424505,corn,0.05,0.09,0.14,0.18
204,,0.707783,corn,0.05,0.09,0.14,0.18
205,,0.819285,corn,0.05,0.09,0.14,0.18
206,,0.825416667,corn,0.05,0.09,0.14,0.18
207,,0.688208833,corn,0.05,0.09,0.14,0.18
208,,0.638778167,corn,0.05,0.09,0.14,0.18
209,,0.607318,corn,0.05,0.09,0.14,0.18
210,,0.638636667,corn,0.05,0.09,0.14,0.18
211,,0.580480167,corn,0.05,0.09,0.14,0.18
212,,0.504636167,corn,0.05,0.09,0.14,0.18
213,,0.479449167,corn,0.05,0.09,0.14,0.18
214,,0.539303667,corn,0.05,0.09,0.14,0.18
215,,0.552934833,corn,0.05,0.09,0.14,0.18
216,,0.549114333,corn,0.05,0.09,0.14,0.18
217,,0.561283333,corn,0.05,0.09,0.14,0.18
218,,0.554727167,corn,0.05,0.09,0.14,0.18
219,,0.508551,corn,0.05,0.09,0.14,0.18
220,,0.440678167,corn,0.05,0.09,0.14,0.18
221,,0.376578667,corn,0.05,0.09,0.14,0.18
222,,0.323233167,corn,0.05,0.09,0.14,0.18
223,,0.417755167,corn,0.05,0.09,0.14,0.18
224,,0.443366667,corn,0.05,0.09,0.14,0.18
225,,0.4286035,corn,0.05,0.09,0.14,0.18
226,,0.436952,corn,0.05,0.09,0.14,0.18
227,,0.607270833,corn,0.05,0.09,0.14,0.18
228,,0.662125667,corn,0.05,0.09,0.14,0.18
229,,0.554963,corn,0.05,0.09,0.14,0.18
230,,0.609204667,corn,0.05,0.09,0.14,0.18
231,,0.538596167,corn,0.05,0.09,0.14,0.18
232,,0.500627,corn,0.05,0.09,0.14,0.18
233,,0.478364333,corn,0.05,0.09,0.14,0.18
234,,0.4934105,corn,0.05,0.09,0.14,0.18
235,,0.522040667,corn,0.05,0.09,0.14,0.18
236,,0.597979,corn,0.05,0.09,0.14,0.18
237,,0.77825,corn,0.05,0.09,0.14,0.18
238,,0.833906667,corn,0.05,0.09,0.14,0.18
239,,0.867064833,corn,0.05,0.09,0.14,0.18
240,,0.954653333,corn,0.05,0.09,0.14,0.18
171,,3.536556667,wheat,0.89,1.77,2.66,3.54
172,,3.513445,wheat,0.89,1.77,2.66,3.54
173,,3.407791667,wheat,0.89,1.77,2.66,3.54
174,,3.170543333,wheat,0.89,1.77,2.66,3.54
175,,2.746986667,wheat,0.89,1.77,2.66,3.54
176,,2.53002,wheat,0.89,1.77,2.66,3.54
177,,2.495588333,wheat,0.89,1.77,2.66,3.54
178,,2.769626667,wheat,0.89,1.77,2.66,3.54
179,,2.879996667,wheat,0.89,1.77,2.66,3.54
180,,2.613033333,wheat,0.89,1.77,2.66,3.54
181,,2.401726667,wheat,0.89,1.77,2.66,3.54
182,,2.181458333,wheat,0.89,1.77,2.66,3.54
183,,2.003168333,wheat,0.89,1.77,2.66,3.54
184,,1.832896667,wheat,0.89,1.77,2.66,3.54
185,,1.72064,wheat,0.89,1.77,2.66,3.54
186,,1.653663333,wheat,0.89,1.77,2.66,3.54
187,,1.53669,wheat,0.89,1.77,2.66,3.54
188,,1.390945,wheat,0.89,1.77,2.66,3.54
189,,1.274443333,wheat,0.89,1.77,2.66,3.54
190,,1.328590667,wheat,0.89,1.77,2.66,3.54
191,,1.4541955,wheat,0.89,1.77,2.66,3.54
192,,1.398633167,wheat,0.89,1.77,2.66,3.54
193,,1.351560833,wheat,0.89,1.77,2.66,3.54
194,,1.3584,wheat,0.89,1.77,2.66,3.54
195,,1.233408333,wheat,0.89,1.77,2.66,3.54
